Partei,Nachname,Vornamen,Geburtsjahr,Typ,Wahlkreis,Survivor,ID
SPD,Westphal,Bernd Helmut,1960,Wahlkreis,Hildesheim,TRUE,WestphalB1960
AfD,Weyel,Harald,1959,Liste,Nordrhein-Westfalen,TRUE,WeyelH1959
CDU,Whittaker,Kai Thorsten,1985,Wahlkreis,Rastatt,TRUE,WhittakerK1985
CDU,Widmann-Mauz,Annette,1966,Wahlkreis,Tübingen,FALSE,Widmann-MauzA1966
AfD,Wiehle,Wolfgang,1964,Liste,Bayern,TRUE,WiehleW1964
CDU,Wiener,Klaus,1962,Wahlkreis,Mettmann I,TRUE,WienerK1962
SPD,Wiese,Dirk,1983,Liste,Nordrhein-Westfalen,TRUE,WieseD1983
CDU,Willsch,Klaus-Peter,1961,Wahlkreis,Rheingau-Taunus – Limburg,TRUE,WillschK1961
CDU,Winkelmeier-Becker,Elisabeth,1962,Wahlkreis,Rhein-Sieg-Kreis I,TRUE,Winkelmeier-BeckerE1962
CSU,Winkler,Tobias,1978,Wahlkreis,Fürth,FALSE,WinklerT1978
GRÜNE,Winklmann,Tina,1980,Liste,Bayern,FALSE,WinklmannT1980
AfD,Wirth,Christian Friedrich,1963,Liste,Saarland,TRUE,WirthC1963
FDP,Wissing,Volker,1970,Liste,Rheinland-Pfalz,TRUE,WissingV1970
AfD,Witt,Uwe,1959,Liste,Schleswig-Holstein,TRUE,WittU1959
CSU,Wittmann,Mechthilde,1967,Wahlkreis,Oberallgäu,FALSE,WittmannM1967
DIE LINKE,Wißler,Janine Natalie,1981,Liste,Hessen,TRUE,WißlerJ1981
SPD,Wollmann,Herbert,1951,Wahlkreis,Altmark,TRUE,WollmannH1951
CDU,Wulf,Mareike Lotte,1979,Liste,Niedersachsen,FALSE,WulfM1979
AfD,Wundrak,Franz Josef Joachim,1955,Liste,Niedersachsen,TRUE,WundrakF1955
SPD,Yüksel,Gülistan,1962,Liste,Nordrhein-Westfalen,FALSE,YükselG1962
CSU,Zeulner,Emmi,1987,Wahlkreis,Kulmbach,TRUE,ZeulnerE1987
