Wahlkreisnummere,Nachname,Vorname,Name,Partei,Stimmenanteil,Bundesland,ausgeschieden
32,Breher, Silvia Maria,"Breher, Silvia Maria",CDU,49.1,Niedersachsen,
33,Knoerig, Axel,"Knoerig, Axel",CDU,33.8,Niedersachsen,
34,Mattfeldt, Andreas,"Mattfeldt, Andreas",CDU,33.7,Niedersachsen,
35,Klingbeil, Lars,"Klingbeil, Lars",SPD,47.6,Niedersachsen,
36,Stadler, Svenja,"Stadler, Svenja",SPD,31,Niedersachsen,
37,Blankenburg, Jakob,"Blankenburg, Jakob",SPD,28.2,Niedersachsen,
38,Dr. Berghegger, André (Mandat verzichtet),"Dr. Berghegger, André (Mandat verzichtet)",CDU,36.2,Niedersachsen,
39,Gava, Manuel,"Gava, Manuel",SPD,30.3,Niedersachsen,
40,Völlers, Marja-Liisa,"Völlers, Marja-Liisa",SPD,35.3,Niedersachsen,
41,Ahmetovic, Adis,"Ahmetovic, Adis",SPD,34.9,Niedersachsen,
42,Fahimi, Yasmin (Mandat verzichtet),"Fahimi, Yasmin (Mandat verzichtet)",SPD,32.9,Niedersachsen,
43,Schamber, Rebecca,"Schamber, Rebecca",SPD,33.7,Niedersachsen,
44,Otte, Henning Rudolf Helmut,"Otte, Henning Rudolf Helmut",CDU,32.9,Niedersachsen,
45,Heil, Wolfgang-Hubertus,"Heil, Wolfgang-Hubertus",SPD,43.7,Niedersachsen,
46,Schraps, Johannes,"Schraps, Johannes",SPD,43.2,Niedersachsen,
47,Dr. Miersch, Matthias,"Dr. Miersch, Matthias",SPD,40.7,Niedersachsen,
48,Westphal, Bernd Helmut,"Westphal, Bernd Helmut",SPD,38.7,Niedersachsen,
49,Kreiser, Dunja Eleonore Angelika,"Kreiser, Dunja Eleonore Angelika",SPD,38.6,Niedersachsen,
50,Dr. Pantazis, Christos,"Dr. Pantazis, Christos",SPD,36.7,Niedersachsen,
51,Mohrs, Falko (Mandat verzichtet),"Mohrs, Falko (Mandat verzichtet)",SPD,42.1,Niedersachsen,
52,Heiligenstadt, Frauke,"Heiligenstadt, Frauke",SPD,36.7,Niedersachsen,
53,Dr. Philippi, Andreas Milan Gerhard (Mandat verzichtet),"Dr. Philippi, Andreas Milan Gerhard (Mandat verzichtet)",SPD,32.2,Niedersachsen,
87,Krischer, Oliver (Mandat verzichtet),"Krischer, Oliver (Mandat verzichtet)",GRÜNE,30.2,Nordrhein-Westfalen,
88,Moll, Claudia,"Moll, Claudia",SPD,34.5,Nordrhein-Westfalen,
89,Oellers, Wilfried,"Oellers, Wilfried",CDU,39.7,Nordrhein-Westfalen,
90,Rachel, Thomas Walther,"Rachel, Thomas Walther",CDU,36.7,Nordrhein-Westfalen,
91,Dr. Kippels, Georg,"Dr. Kippels, Georg",CDU,33,Nordrhein-Westfalen,
92,Seif, Detlef,"Seif, Detlef",CDU,34.6,Nordrhein-Westfalen,
93,Abdi, Sanae,"Abdi, Sanae",SPD,27.9,Nordrhein-Westfalen,
94,Lehmann, Sven,"Lehmann, Sven",GRÜNE,34.6,Nordrhein-Westfalen,
95,Dr. Mützenich, Rolf Heinrich,"Dr. Mützenich, Rolf Heinrich",SPD,29.9,Nordrhein-Westfalen,
96,Uhlig, Katrin Babette,"Uhlig, Katrin Babette",GRÜNE,25.2,Nordrhein-Westfalen,
97,Winkelmeier-Becker, Elisabeth,"Winkelmeier-Becker, Elisabeth",CDU,32.6,Nordrhein-Westfalen,
98,Dr. Röttgen, Norbert Alois,"Dr. Röttgen, Norbert Alois",CDU,40,Nordrhein-Westfalen,
99,Dr. Brodesser, Carsten,"Dr. Brodesser, Carsten",CDU,33.9,Nordrhein-Westfalen,
100,Dr. Tebroke, Hermann-Josef Johann,"Dr. Tebroke, Hermann-Josef Johann",CDU,30,Nordrhein-Westfalen,
101,Dr. Lauterbach, Karl Wilhelm,"Dr. Lauterbach, Karl Wilhelm",SPD,45.6,Nordrhein-Westfalen,
102,Lindh, Helge Frederik,"Lindh, Helge Frederik",SPD,37.3,Nordrhein-Westfalen,
103,Schäfer, Ingo,"Schäfer, Ingo",SPD,32.6,Nordrhein-Westfalen,
104,Dr. Wiener, Klaus,"Dr. Wiener, Klaus",CDU,30,Nordrhein-Westfalen,
105,Beyer, Peter,"Beyer, Peter",CDU,31.3,Nordrhein-Westfalen,
106,Jarzombek, Thomas,"Jarzombek, Thomas",CDU,31.1,Nordrhein-Westfalen,
107,Rimkus, Andreas,"Rimkus, Andreas",SPD,29.2,Nordrhein-Westfalen,
108,Gröhe, Gottfried Hermann,"Gröhe, Gottfried Hermann",CDU,35.8,Nordrhein-Westfalen,
109,Dr. Krings, Günter,"Dr. Krings, Günter",CDU,35.6,Nordrhein-Westfalen,
110,Heveling, Ansgar Guido Karl Johannes,"Heveling, Ansgar Guido Karl Johannes",CDU,33.4,Nordrhein-Westfalen,
111,Dr. Plum, Martin,"Dr. Plum, Martin",CDU,35.8,Nordrhein-Westfalen,
112,Rouenhoff, Stefan,"Rouenhoff, Stefan",CDU,37.6,Nordrhein-Westfalen,
113,Keller, Rainer Johannes (verstorben),"Keller, Rainer Johannes (verstorben)",SPD,34.2,Nordrhein-Westfalen,
114,Dieren, Jan Ulrich,"Dieren, Jan Ulrich",SPD,35.2,Nordrhein-Westfalen,
115,Bas, Bärbel,"Bas, Bärbel",SPD,40.3,Nordrhein-Westfalen,
116,Özdemir, Mahmut,"Özdemir, Mahmut",SPD,39.4,Nordrhein-Westfalen,
117,Vöpel, Dirk,"Vöpel, Dirk",SPD,38.8,Nordrhein-Westfalen,
118,Fiedler, Sebastian,"Fiedler, Sebastian",SPD,36.3,Nordrhein-Westfalen,
119,Heidenblut, Dirk,"Heidenblut, Dirk",SPD,37.8,Nordrhein-Westfalen,
120,Hauer, Matthias,"Hauer, Matthias",CDU,30.7,Nordrhein-Westfalen,
121,Schwabe, Frank,"Schwabe, Frank",SPD,41,Nordrhein-Westfalen,
122,Nickholz, Brian,"Nickholz, Brian",SPD,37.4,Nordrhein-Westfalen,
123,Töns, Markus,"Töns, Markus",SPD,40.5,Nordrhein-Westfalen,
124,Spahn, Jens Georg,"Spahn, Jens Georg",CDU,40,Nordrhein-Westfalen,
125,Gerdes, Michael,"Gerdes, Michael",SPD,39.1,Nordrhein-Westfalen,
126,König, Anne,"König, Anne",CDU,43.7,Nordrhein-Westfalen,
127,Henrichmann, Marc,"Henrichmann, Marc",CDU,40.9,Nordrhein-Westfalen,
128,Karliczek, Anja Maria-Antonia,"Karliczek, Anja Maria-Antonia",CDU,34,Nordrhein-Westfalen,
129,Klein-Schmeink, Maria Anna,"Klein-Schmeink, Maria Anna",GRÜNE,32.3,Nordrhein-Westfalen,
130,Rehbaum, Henning,"Rehbaum, Henning",CDU,36.3,Nordrhein-Westfalen,
131,Brinkhaus, Ralph,"Brinkhaus, Ralph",CDU,40,Nordrhein-Westfalen,
132,Dr. Esdar, Wiebke,"Dr. Esdar, Wiebke",SPD,30,Nordrhein-Westfalen,
133,Schwartze, Stefan,"Schwartze, Stefan",SPD,36.5,Nordrhein-Westfalen,
134,Post, Achim Jürgen,"Post, Achim Jürgen",SPD,38.4,Nordrhein-Westfalen,
135,Berghahn, Jürgen,"Berghahn, Jürgen",SPD,30.7,Nordrhein-Westfalen,
136,Haase, Christian,"Haase, Christian",CDU,40.1,Nordrhein-Westfalen,
137,Dr. Linnemann, Carsten Christoffer,"Dr. Linnemann, Carsten Christoffer",CDU,47.9,Nordrhein-Westfalen,
138,Schisanowski, Timo,"Schisanowski, Timo",SPD,33.3,Nordrhein-Westfalen,
139,Echeverria, Inaki Axel,"Echeverria, Inaki Axel",SPD,35.4,Nordrhein-Westfalen,
140,Schäfer, Axel Helmut,"Schäfer, Axel Helmut",SPD,38.3,Nordrhein-Westfalen,
141,Müntefering, Michelle-Jasmin Gabriele,"Müntefering, Michelle-Jasmin Gabriele",SPD,43.4,Nordrhein-Westfalen,
142,Peick, Jens,"Peick, Jens",SPD,33,Nordrhein-Westfalen,
143,Poschmann, Sabine,"Poschmann, Sabine",SPD,39.1,Nordrhein-Westfalen,
144,Kaczmarek, Oliver,"Kaczmarek, Oliver",SPD,40.8,Nordrhein-Westfalen,
145,Thews, Michael Eckardt,"Thews, Michael Eckardt",SPD,40.6,Nordrhein-Westfalen,
146,Thies, Hans-Jürgen,"Thies, Hans-Jürgen",CDU,33.1,Nordrhein-Westfalen,
147,Merz, Joachim-Friedrich Martin Josef,"Merz, Joachim-Friedrich Martin Josef",CDU,40.4,Nordrhein-Westfalen,
148,Klein, Volkmar,"Klein, Volkmar",CDU,33.6,Nordrhein-Westfalen,
149,Müller, Florian Matthias,"Müller, Florian Matthias",CDU,37.1,Nordrhein-Westfalen,
150,Ziemiak, Paul,"Ziemiak, Paul",CDU,33.6,Nordrhein-Westfalen,
197,Rüddel, Erwin Josef,"Rüddel, Erwin Josef",CDU,31.9,Rheinland-Pfalz,
198,Heil, Mechthild,"Heil, Mechthild",CDU,34.3,Rheinland-Pfalz,
199,Oster, Josef,"Oster, Josef",CDU,31.7,Rheinland-Pfalz,
200,Dr. Bröhr, Marlon,"Dr. Bröhr, Marlon",CDU,34.3,Rheinland-Pfalz,
201,Dr. Weingarten, Joe,"Dr. Weingarten, Joe",SPD,33,Rheinland-Pfalz,
202,Schnieder, Patrick,"Schnieder, Patrick",CDU,37.8,Rheinland-Pfalz,
203,Hubertz, Verena Ute,"Hubertz, Verena Ute",SPD,33,Rheinland-Pfalz,
204,Dr. Machalet, Tanja,"Dr. Machalet, Tanja",SPD,31.5,Rheinland-Pfalz,
205,Baldy, Daniel,"Baldy, Daniel",SPD,24.9,Rheinland-Pfalz,
206,Metzler, Jan,"Metzler, Jan",CDU,32.2,Rheinland-Pfalz,
207,Schreider, Christian Willi Heribert,"Schreider, Christian Willi Heribert",SPD,32.8,Rheinland-Pfalz,
208,Steiniger, Johannes Eberhard,"Steiniger, Johannes Eberhard",CDU,30.2,Rheinland-Pfalz,
209,Mieves, Matthias David,"Mieves, Matthias David",SPD,33.9,Rheinland-Pfalz,
210,Glöckner, Angelika,"Glöckner, Angelika",SPD,30.4,Rheinland-Pfalz,
211,Hitschler, Thomas,"Hitschler, Thomas",SPD,28.2,Rheinland-Pfalz,
296,Ortleb, Josephine Loulou,"Ortleb, Josephine Loulou",SPD,36.9,Saarland,
297,Maas, Heiko Josef (Mandat verzichtet),"Maas, Heiko Josef (Mandat verzichtet)",SPD,36.7,Saarland,
298,Petry, Christian,"Petry, Christian",SPD,35.1,Saarland,
299,Limbacher, Esra-Leon Ruben,"Limbacher, Esra-Leon Ruben",SPD,36.6,Saarland,
151,Bochmann, René,"Bochmann, René",AfD,27.8,Sachsen,
152,Lehmann, Jens,"Lehmann, Jens",CDU,20.5,Sachsen,
153,Pellmann, Sören,"Pellmann, Sören",DIE LINKE,22.8,Sachsen,
154,Naujok, Edgar,"Naujok, Edgar",AfD,24.6,Sachsen,
155,Lenk, Barbara,"Lenk, Barbara",AfD,31,Sachsen,
156,Hilse, Karsten,"Hilse, Karsten",AfD,33.4,Sachsen,
157,Chrupalla, Tino,"Chrupalla, Tino",AfD,35.8,Sachsen,
158,Janich, Steffen,"Janich, Steffen",AfD,33,Sachsen,
159,Dr. Reichel, Markus,"Dr. Reichel, Markus",CDU,21.1,Sachsen,
160,Rohwer, Lars,"Rohwer, Lars",CDU,18.6,Sachsen,
161,Bachmann, Carolin,"Bachmann, Carolin",AfD,33.4,Sachsen,
162,Müller, Detlef,"Müller, Detlef",SPD,25.1,Sachsen,
163,Moncsek, Mike,"Moncsek, Mike",AfD,28.9,Sachsen,
164,Dietz, Thomas,"Dietz, Thomas",AfD,31.7,Sachsen,
165,Moosdorf, Matthias,"Moosdorf, Matthias",AfD,25.6,Sachsen,
166,Magwas, Yvonne,"Magwas, Yvonne",CDU,27.7,Sachsen,
66,Dr. Wollmann, Herbert,"Dr. Wollmann, Herbert",SPD,27.5,Sachsen-Anhalt,
67,Dr. Kersten, Franziska,"Dr. Kersten, Franziska",SPD,26.2,Sachsen-Anhalt,
68,Brehmer, Heike Martina,"Brehmer, Heike Martina",CDU,27.7,Sachsen-Anhalt,
69,Kröber, Martin,"Kröber, Martin",SPD,25.3,Sachsen-Anhalt,
70,Müller, Sepp,"Müller, Sepp",CDU,34.3,Sachsen-Anhalt,
71,Ziegler, Kay-Uwe,"Ziegler, Kay-Uwe",AfD,24.2,Sachsen-Anhalt,
72,Dr. Diaby, Karamba,"Dr. Diaby, Karamba",SPD,28.8,Sachsen-Anhalt,
73,Stier, Dieter,"Stier, Dieter",CDU,26.3,Sachsen-Anhalt,
74,Farle, Robert,"Farle, Robert",AfD,25.1,Sachsen-Anhalt,
1,Habeck, Robert,"Habeck, Robert",GRÜNE,28.1,Schleswig-Holstein,
2,Damerow, Astrid,"Damerow, Astrid",CDU,30.4,Schleswig-Holstein,
3,Helfrich, Mark,"Helfrich, Mark",CDU,29.2,Schleswig-Holstein,
4,Rix, Sönke,"Rix, Sönke",SPD,30.8,Schleswig-Holstein,
5,Stein, Jens Mathias,"Stein, Jens Mathias",SPD,29.5,Schleswig-Holstein,
6,Dr. Klinck, Kristian,"Dr. Klinck, Kristian",SPD,31.4,Schleswig-Holstein,
7,Dr. Stegner, Ralf,"Dr. Stegner, Ralf",SPD,31.2,Schleswig-Holstein,
8,Bergt, Bengt Axel,"Bergt, Bengt Axel",SPD,32,Schleswig-Holstein,
9,Hagedorn, Bettina,"Hagedorn, Bettina",SPD,33.7,Schleswig-Holstein,
10,Dr. Scheer, Nina,"Dr. Scheer, Nina",SPD,31,Schleswig-Holstein,
11,Klüssendorf, Tim,"Klüssendorf, Tim",SPD,34.1,Schleswig-Holstein,
189,Grund, Manfred,"Grund, Manfred",CDU,26.6,Thüringen,
190,Stöber, Klaus,"Stöber, Klaus",AfD,24.8,Thüringen,
191,Dr. Becker, Holger,"Dr. Becker, Holger",SPD,20.1,Thüringen,
192,Bühl, Marcus,"Bühl, Marcus",AfD,26.5,Thüringen,
193,Schneider, Carsten,"Schneider, Carsten",SPD,24.4,Thüringen,
