Wahlkreisnummere,Name,Partei,Stimmenanteil,Bundesland,Listenplatz,Art
101,"Güler, Serap",CDU,NA,Nordrhein-Westfalen,8,Liste
118,"Timmermann-Fechter, Astrid",CDU,NA,Nordrhein-Westfalen,10,Liste
113,"Weiss, Sabine Katharina",CDU,NA,Nordrhein-Westfalen,13,Liste
88,"dos Santos Firnhaber, Catarina",CDU,NA,Nordrhein-Westfalen,15,Liste
121,"Breilmann, Michael",CDU,NA,Nordrhein-Westfalen,16,Liste
135,"Vieregge, Kerstin",CDU,NA,Nordrhein-Westfalen,17,Liste
129,"Dr. Nacke, Stefan",CDU,NA,Nordrhein-Westfalen,18,Liste
166,"Magwas, Yvonne",CDU,277,Sachsen,NA,Direkt
159,"Dr. Reichel, Markus",CDU,211,Sachsen,NA,Direkt
152,"Lehmann, Jens",CDU,205,Sachsen,NA,Direkt
160,"Rohwer, Lars",CDU,186,Sachsen,NA,Direkt
163,"Wanderwitz, Marco",CDU,NA,Sachsen,1,Liste
151,"Dr. Schenderlein, Christiane",CDU,NA,Sachsen,2,Liste
174,"Brand, Michael Karl",CDU,381,Hessen,NA,Direkt
181,"Altenkamp, Norbert Maria",CDU,333,Hessen,NA,Direkt
176,"Koob, Markus Benjamin",CDU,313,Hessen,NA,Direkt
188,"Dr. Meister, Michael Günther",CDU,305,Hessen,NA,Direkt
178,"Willsch, Klaus-Peter",CDU,302,Hessen,NA,Direkt
185,"Simon, Björn Manuel",CDU,278,Hessen,NA,Direkt
179,"Jung, Ingmar Ludwig (Mandat verzichtet)",CDU,263,Hessen,NA,Direkt
173,"Dr. Braun, Helge Reinhold",CDU,NA,Hessen,1,Liste
187,"Lips, Patricia",CDU,NA,Hessen,2,Liste
180,"Dr. Leikert, Katja Isabel",CDU,NA,Hessen,5,Liste
167,"Schwarz, Armin",CDU,NA,Hessen,6,Liste
189,"Grund, Manfred",CDU,266,Thüringen,NA,Direkt
190,"Hirte, Christian",CDU,NA,Thüringen,1,Liste
193,"Tillmann, Antje",CDU,NA,Thüringen,2,Liste
202,"Schnieder, Patrick",CDU,378,Rheinland-Pfalz,NA,Direkt
198,"Heil, Mechthild",CDU,343,Rheinland-Pfalz,NA,Direkt
200,"Dr. Bröhr, Marlon",CDU,343,Rheinland-Pfalz,NA,Direkt
206,"Metzler, Jan",CDU,322,Rheinland-Pfalz,NA,Direkt
197,"Rüddel, Erwin Josef",CDU,319,Rheinland-Pfalz,NA,Direkt
199,"Oster, Josef",CDU,317,Rheinland-Pfalz,NA,Direkt
208,"Steiniger, Johannes Eberhard",CDU,302,Rheinland-Pfalz,NA,Direkt
